subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045
C01,control,F01,famous,A,137,862,TRUE,s001,<undefined>,0.59287,-0.012552,0.13947,0.15049,0.11716,0.13793,-0.125,-0.22561,0.083333,0.25049,-0.61519,0.22581,0.20132,-0.5556,0.039052,0.083333,-0.16667,-0.15945,0.39108,0.083333,-0.036901,0.20312,0,-0.096154,0.27145,-0.072303,-0.091421,-0.41519,0.13905,0.47059,0.41716,0.058824,0.2,-0.36667,0.19444,-0.40625,0.2271,<undefined>,-0.11618,-0.028553,0.10526,-0.10215,<undefined>,<undefined>
C04,control,F01,famous,A,129,874,TRUE,s002,0.59287,<undefined>,0.19697,-0.038748,0.042076,0.014298,0.12661,-0.11213,-0.17073,0.13017,0.033361,-0.43328,0.37097,0.084448,-0.54205,-0.1619,0.16667,-0.16667,-0.2606,0.53254,0.13017,-0.085307,0.26831,0.027778,-0.11538,0.055025,-0.30474,-0.17712,-0.49442,-0.078567,0.25,0.42143,-0.1619,0.060321,-0.5,0,-0.55556,0.28474,<undefined>,-0.18015,-0.094975,0.026316,-0.097299,<undefined>,<undefined>
C05,control,F01,famous,A,135,1919,TRUE,s003,-0.012552,0.19697,<undefined>,-0.022058,0.045455,0.060606,-0.10042,0.22727,0.051919,0.075758,-0.31774,-0.40085,0.30823,-0.20863,-0.30214,-0.11081,0.37879,-0.40909,-0.56021,0.10606,0.28788,-0.26586,0.055853,-0.21212,-0.31298,-0.30258,-0.32034,-0.3727,-0.23982,-0.077911,-0.21212,-0.015152,-0.42424,-0.31558,-0.62121,-0.34848,-0.65152,0.22772,<undefined>,-0.08831,-0.39349,-0.21212,-0.067101,<undefined>,<undefined>
C06,control,F01,famous,A,47,1143,TRUE,s004,0.13947,-0.038748,-0.022058,<undefined>,0.059874,0.10341,0.017749,0.008871,-0.17474,-0.027194,0.095238,-0.25712,-0.072343,0.30002,-0.24148,0.26599,0.080964,-0.21429,-0.10347,-0.058472,0.084385,-0.020629,-0.041513,-0.38434,-0.25,0.22246,0.12722,0.18096,0.19456,0.40476,0.027895,-0.14216,0,0.055789,-0.2619,-0.02381,-0.30952,0.095081,<undefined>,-0.091153,-0.02381,-0.011554,-0.083287,<undefined>,<undefined>
C07,control,F01,famous,A,148,564,TRUE,s005,0.15049,0.042076,0.045455,0.059874,<undefined>,0.80769,-0.16354,0.05,-0.28049,0.27778,-0.18284,-0.30812,-0.048387,-0.12077,-0.20975,0.16045,-0.033333,-0.49282,-0.35095,0.10983,0.27778,-0.11111,-0.16919,-0.14706,-0.31702,-0.082843,-0.30622,-0.34142,-0.046918,0.14286,-0.029412,0.2643,-0.23025,-0.1714,-0.71429,-0.15713,-0.6875,-0.017241,<undefined>,0.35714,-0.39497,0.16241,-0.23585,<undefined>,<undefined>
C08,control,F01,famous,A,148,628,TRUE,s006,0.11716,0.014298,0.060606,0.10341,0.80769,<undefined>,-0.18078,-0.025,-0.27439,0.25,-0.2,-0.24282,-0.064516,-0.079211,-0.16164,0.23077,-0.05,-0.54587,-0.32625,0.078585,0.25,-0.069444,-0.18482,-0.23529,-0.31373,-0.037132,-0.27497,-0.32475,-0.023459,0.10714,-0.058824,0.20551,-0.23529,-0.20474,-0.75,-0.12936,-0.71875,-0.034483,<undefined>,0.36327,-0.37855,0.10526,-0.24528,<undefined>,<undefined>
C10,control,F01,famous,A,68,1559,TRUE,s007,0.13793,0.12661,-0.10042,0.017749,-0.16354,-0.18078,<undefined>,-0.091108,-0.028395,-0.088658,0.17241,-0.53938,0.29127,0.43103,-0.58519,-0.16058,0.061438,-0.12069,0.081081,0.18129,-0.068458,-0.013889,0.32812,0.068966,0.086207,0.19557,0.12069,0.18333,-0.45614,-0.16599,-0.048766,0.12069,-0.028566,-0.083249,-0.12069,-0.025608,-0.32759,0.34483,<undefined>,-0.28127,0.15517,-0.10345,0.078709,<undefined>,<undefined>
C11,control,F01,famous,A,26,966,TRUE,s008,-0.125,-0.11213,0.22727,0.008871,0.05,-0.025,-0.091108,<undefined>,-0.23676,0.45,-0.24926,-0.35711,0.00047479,-0.3467,-0.22353,0.12145,0.16667,-0.35,-0.47218,-0.012132,0.15,-0.28173,-0.17142,-0.18713,-0.41648,-0.45355,-0.28284,-0.40139,-0.091421,0.046447,-0.275,0.058579,-0.47855,-0.33713,-0.7,-0.43284,-0.75,-0.066007,<undefined>,-0.091421,-0.34497,-0.275,-0.23719,<undefined>,<undefined>
C12,control,F01,famous,A,29,4214,TRUE,s009,-0.22561,-0.17073,0.051919,-0.17474,-0.28049,-0.27439,-0.028395,-0.23676,<undefined>,-0.23972,-0.2622,-0.30488,0.03258,-0.097561,-0.26515,-0.31098,-0.060976,-0.36585,-0.16969,-0.20732,-0.21951,-0.10976,-0.085366,-0.31098,-0.2561,-0.19512,-0.28049,-0.13711,-0.28049,-0.2561,-0.2622,-0.28049,-0.29878,-0.33537,-0.37805,-0.29268,-0.45122,0.018293,<undefined>,-0.33432,-0.2439,-0.29878,0.042683,<undefined>,<undefined>
C14,control,F01,famous,A,6,869,TRUE,s010,0.083333,0.13017,0.075758,-0.027194,0.27778,0.25,-0.088658,0.45,-0.23972,<undefined>,-0.28091,-0.43328,0.18849,-0.17268,-0.26986,-0.031726,0.066667,-0.45792,-0.41349,0.15319,0.55556,-0.19642,-0.11964,-0.083333,-0.31702,-0.22782,-0.38331,-0.3933,-0.13807,0.20874,-0.12936,0.23175,-0.47617,-0.23094,-0.79126,-0.31427,-0.84681,-0.051724,<undefined>,0.088099,-0.46569,-0.20601,-0.14285,<undefined>,<undefined>
C15,control,F01,famous,A,56,714,TRUE,s011,0.25049,0.033361,-0.31774,0.095238,-0.18284,-0.2,0.17241,-0.24926,-0.2622,-0.28091,<undefined>,-0.92761,-0.099067,0.32208,-0.80224,0.078105,-0.23856,0.43333,-0.027027,0.011643,-0.28091,-0.125,-0.085708,-0.17647,0.0032995,0.225,0.34375,0.10286,-0.5714,0.0057191,-0.024366,-0.065685,0.10337,0.2781,0.083824,0.014298,-0.21875,-0.034483,<undefined>,0.044772,0.225,-0.17067,-0.15094,<undefined>,<undefined>
C18,control,F01,famous,A,53,888,TRUE,s012,-0.61519,-0.43328,-0.40085,-0.25712,-0.30812,-0.24282,-0.53938,-0.35711,-0.30488,-0.43328,-0.92761,<undefined>,-0.46126,-0.71168,0.60526,-0.5112,-0.45997,<undefined>,-0.65753,-0.46155,-0.43328,-0.49047,-0.42364,-0.67056,-0.67911,-0.73284,-0.9375,-0.53333,0.066352,-0.62342,-0.67056,-0.51015,-0.80839,-0.75523,<undefined>,-0.75871,<undefined>,-0.32412,<undefined>,-0.61835,<undefined>,-0.50374,-0.47734,<undefined>,<undefined>
C20,control,F01,famous,A,107,1506,TRUE,s013,0.22581,0.37097,0.30823,-0.072343,-0.048387,-0.064516,0.29127,0.00047479,0.03258,0.18849,-0.099067,-0.46126,<undefined>,0.017079,-0.35618,-0.04562,0.20968,-0.27419,-0.35983,0.13733,0.18849,-0.059913,0.27099,0,-0.080645,-0.082938,-0.19078,-0.15757,-0.28985,-0.19078,0,0.080645,-0.22581,-0.11014,-0.43548,-0.14516,-0.46774,0.39817,<undefined>,-0.15852,-0.17971,-0.12903,-0.0078154,<undefined>,<undefined>
C21,control,F01,famous,A,49,1209,TRUE,s014,0.20132,0.084448,-0.20863,0.30002,-0.12077,-0.079211,0.43103,-0.3467,-0.097561,-0.17268,0.32208,-0.71168,0.017079,<undefined>,-0.77206,-0.052584,-0.038071,0,0.16448,0.012367,-0.17268,0.19444,0.21875,-0.24543,0.11538,0.63636,0.31818,0.4,-0.44218,0.068851,0.19352,-0.067513,0.25,0.049354,-0.045455,0.27273,-0.31818,0.3335,<undefined>,-0.21168,0.36364,0.14026,0.10377,<undefined>,<undefined>
C22,control,F01,famous,A,27,913,TRUE,s015,-0.5556,-0.54205,-0.30214,-0.24148,-0.20975,-0.16164,-0.58519,-0.22353,-0.26515,-0.26986,-0.80224,0.60526,-0.35618,-0.77206,<undefined>,-0.35939,-0.40997,-0.80676,-0.69343,-0.45859,-0.26986,-0.50436,-0.48346,-0.73155,-0.7302,-0.79926,-0.81579,-0.57761,0.066177,-0.44208,-0.66989,-0.44582,-0.79321,-0.66615,-0.80676,-0.7887,-0.85939,-0.34973,<undefined>,-0.43834,-0.91642,-0.60449,-0.44904,<undefined>,<undefined>
C25,control,F01,famous,A,142,636,TRUE,s016,0.039052,-0.1619,-0.11081,0.26599,0.16045,0.23077,-0.16058,0.12145,-0.31098,-0.031726,0.078105,-0.5112,-0.04562,-0.052584,-0.35939,<undefined>,-0.1719,-0.32143,-0.23397,-0.20803,-0.031726,-0.10873,-0.16651,-0.4504,-0.32692,-0.0078427,0.15625,-0.1719,0.0061276,0.077556,-0.11765,-0.21097,-0.11765,-0.16095,-0.39286,-0.13889,-0.40625,-0.13793,<undefined>,0.1194,-0.066421,-0.10526,-0.21536,<undefined>,<undefined>
