subj,ability,face,fame,angle,trial,rt,acc,sq,iaseq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
D06,devprop,F01,famous,A,50,2352,FALSE,s001,x,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D08,devprop,F01,famous,A,139,3936,FALSE,s002,x,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D13,devprop,F01,famous,A,118,2643,FALSE,s003,x,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D14,devprop,F01,famous,A,10,2766,FALSE,s004,x,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D15,devprop,F01,famous,A,152,1335,TRUE,s005,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,x,x,x,x,x,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D16,devprop,F01,famous,A,25,4633,TRUE,s006,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,x,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D17,devprop,F01,famous,A,111,3608,TRUE,s007,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,x,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D18,devprop,F01,famous,A,42,2055,FALSE,s008,x,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D90,devprop,F01,famous,A,100,909,TRUE,s009,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,x,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
D91,devprop,F01,famous,A,140,2494,TRUE,s010,dBdBdBdBdBdBdBdBdBdAfBeBfBfBfBfBfBfBdAdAdAdAdAdAdBdBdCdCdCdCdCdCdCdCfBfBfBfBfBfBfBfBfBfBfBfBdBdB,x,x,x,x,bBbBbBdAdAdAdAdAdAeBeBeBeBeBeBcAcAcAcAcAcBcBcB,bBcAcAdBdBdBdBdBdBeBeBeBeBeBeBdAcAcAcAcAcAcAcAcAcAeBeBeBeBeBeBcCcCcCcCcCdAdAdAdAdAdAdAdAeBeBeBeBeBeBeBeBeBdAdAdAcAcAcAcAcAcAcAcAcBcBcBcBcBcCcCcCcCcCcCcCcCeBeBeBeBeBeBeBeBdBdBdBbBbB,cAcAcAcAdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcBcBcBcBcBcBcBcBcBcBcBcBcBcBcBdBdBdBdBdBdBdBdBdBdBdBcAcAcAcAcAcAcAcBcBcBcBdB,x,cAcAcAeBeBeBeBeBeBeBeBeBeBcAcAcA,x,cAcAcAcAdBdBdBdBdBdBdBdBdBdBcAcAcAcCcCcCcC,bBcAcAcAcAcAcAcAcAcAcAcAcAcAcAcAcA,cCcCcCcCcCdBdBeBeBeBeBeBcCcCcCcCcCcAcAcAcAcAcAcAcAcAcAcCcCcC,dAdAdAdAcAcAcAcCcCcCcCcCdBdBdBdBdBcBcBcBcAcAcAcAcAcCcCcCcCcCcCcAcAcAcA,bBbBbBdBdBdAdAdAeBeBeBeBeBdAdAdAdAdAdBdBdBdBdBdAdAdAdAdAdAdAdAdAeBeBeBeBeBeBdBdBdBdBdCdCdCdBdBdBdBdAdAdA
