subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
D06,devprop,F01,famous,A,50,2352,FALSE,s001,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D08,devprop,F01,famous,A,139,3936,FALSE,s002,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D13,devprop,F01,famous,A,118,2643,FALSE,s003,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D14,devprop,F01,famous,A,10,2766,FALSE,s004,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D15,devprop,F01,famous,A,152,1335,TRUE,s005,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.14809,-0.21514,<undefined>,0.14908,-0.28125,0.0074597,0.094416,0.0085786,-0.028571,-0.030213
D16,devprop,F01,famous,A,25,4633,TRUE,s006,<undefined>,<undefined>,<undefined>,<undefined>,-0.14809,<undefined>,0.078731,<undefined>,-0.23333,-0.11571,-0.23238,-0.21667,-0.10079,-0.10174,0.030637
D17,devprop,F01,famous,A,111,3608,TRUE,s007,<undefined>,<undefined>,<undefined>,<undefined>,-0.21514,0.078731,<undefined>,<undefined>,-0.29104,-0.23134,-0.089552,-0.14051,-0.18145,-0.060762,-0.12643
D18,devprop,F01,famous,A,42,2055,FALSE,s008,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D90,devprop,F01,famous,A,100,909,TRUE,s009,<undefined>,<undefined>,<undefined>,<undefined>,0.14908,-0.23333,-0.29104,<undefined>,<undefined>,-0.33839,0.16667,-0.26471,-0.16667,-0.24286,-0.15385
D91,devprop,F01,famous,A,140,2494,TRUE,s010,<undefined>,<undefined>,<undefined>,<undefined>,-0.28125,-0.11571,-0.23134,<undefined>,-0.33839,<undefined>,-0.17708,-0.42142,-0.33124,-0.29136,-0.027196
D92,devprop,F01,famous,A,148,1221,TRUE,s011,<undefined>,<undefined>,<undefined>,<undefined>,0.0074597,-0.23238,-0.089552,<undefined>,0.16667,-0.17708,<undefined>,0.012956,-0.091421,0.2049,-0.18269
D93,devprop,F01,famous,A,81,1038,TRUE,s012,<undefined>,<undefined>,<undefined>,<undefined>,0.094416,-0.21667,-0.14051,<undefined>,-0.26471,-0.42142,0.012956,<undefined>,-0.058088,0.057143,-0.31731
D94,devprop,F01,famous,A,106,1602,TRUE,s013,<undefined>,<undefined>,<undefined>,<undefined>,0.0085786,-0.10079,-0.18145,<undefined>,-0.16667,-0.33124,-0.091421,-0.058088,<undefined>,0.15714,-0.18708
D95,devprop,F01,famous,A,138,1732,TRUE,s014,<undefined>,<undefined>,<undefined>,<undefined>,-0.028571,-0.10174,-0.060762,<undefined>,-0.24286,-0.29136,0.2049,0.057143,0.15714,<undefined>,-0.1423
D96,devprop,F01,famous,A,42,2774,TRUE,s015,<undefined>,<undefined>,<undefined>,<undefined>,-0.030213,0.030637,-0.12643,<undefined>,-0.15385,-0.027196,-0.18269,-0.31731,-0.18708,-0.1423,<undefined>
D06,devprop,F01,famous,B,23,5236,TRUE,s001,<undefined>,-0.0092731,<undefined>,<undefined>,-0.2043,0.20312,0.24194,<undefined>,-0.39247,-0.198,<undefined>,-0.13441,0.042247,0.14163,0.15146
D08,devprop,F01,famous,B,10,5390,TRUE,s002,-0.0092731,<undefined>,<undefined>,<undefined>,-0.29543,0.069083,-0.037548,<undefined>,-0.37629,-0.14433,<undefined>,-0.30839,-0.12371,-0.16611,0.06835
D13,devprop,F01,famous,B,24,2546,FALSE,s003,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D14,devprop,F01,famous,B,140,1047,FALSE,s004,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D15,devprop,F01,famous,B,105,1564,TRUE,s005,-0.2043,-0.29543,<undefined>,<undefined>,<undefined>,-0.18913,-0.11047,<undefined>,-0.10793,0.23134,<undefined>,-0.39152,-0.21428,-0.20351,-0.14937
D16,devprop,F01,famous,B,152,9218,TRUE,s006,0.20312,0.069083,<undefined>,<undefined>,-0.18913,<undefined>,0.12635,<undefined>,-0.29167,-0.16146,<undefined>,-0.28199,0.076644,-0.047309,0.13215
D17,devprop,F01,famous,B,29,4577,TRUE,s007,0.24194,-0.037548,<undefined>,<undefined>,-0.11047,0.12635,<undefined>,<undefined>,-0.36047,-0.16461,<undefined>,-0.15116,0.31612,0.29486,0.018439
D18,devprop,F01,famous,B,87,2735,FALSE,s008,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D90,devprop,F01,famous,B,25,933,TRUE,s009,-0.39247,-0.37629,<undefined>,<undefined>,-0.10793,-0.29167,-0.36047,<undefined>,<undefined>,-0.048387,<undefined>,-0.58629,-0.36667,-0.35246,-0.23529
D91,devprop,F01,famous,B,142,1597,TRUE,s010,-0.198,-0.14433,<undefined>,<undefined>,0.23134,-0.16146,-0.16461,<undefined>,-0.048387,<undefined>,<undefined>,-0.62026,-0.073137,-0.13115,-0.040333
D92,devprop,F01,famous,B,30,6089,FALSE,s011,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D93,devprop,F01,famous,B,20,1413,TRUE,s012,-0.13441,-0.30839,<undefined>,<undefined>,-0.39152,-0.28199,-0.15116,<undefined>,-0.58629,-0.62026,<undefined>,<undefined>,-0.19199,-0.10772,-0.014706
D94,devprop,F01,famous,B,58,3715,TRUE,s013,0.042247,-0.12371,<undefined>,<undefined>,-0.21428,0.076644,0.31612,<undefined>,-0.36667,-0.073137,<undefined>,-0.19199,<undefined>,0.30343,0.049347
D95,devprop,F01,famous,B,73,3004,TRUE,s014,0.14163,-0.16611,<undefined>,<undefined>,-0.20351,-0.047309,0.29486,<undefined>,-0.35246,-0.13115,<undefined>,-0.10772,0.30343,<undefined>,0.029628
D96,devprop,F01,famous,B,85,3607,TRUE,s015,0.15146,0.06835,<undefined>,<undefined>,-0.14937,0.13215,0.018439,<undefined>,-0.23529,-0.040333,<undefined>,-0.014706,0.049347,0.029628,<undefined>
D06,devprop,F01,famous,C,1,2603,FALSE,s001,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D08,devprop,F01,famous,C,109,1835,FALSE,s002,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D13,devprop,F01,famous,C,23,3463,FALSE,s003,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D14,devprop,F01,famous,C,16,3165,FALSE,s004,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D15,devprop,F01,famous,C,45,2441,TRUE,s005,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.044643,<undefined>,-0.16667,0.090656,-0.033333,-0.055556,0.090795,<undefined>,-0.055843
