subj,ability,face,fame,angle,trial,rt,acc,sq,iaseq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
S01,super,F01,famous,A,52,916,TRUE,s001,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,x,dBdBdBdBdBdBdBdBdBdBdB,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,cAdAdAdAeBeBeBeBeBeBeBeBeB,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,cBcBcBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBcBcBcBcBcBcB,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S02,super,F01,famous,A,94,516,TRUE,s002,dBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,x,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,cAdAdAdAeBeBeBeBeBeBeBeBeB,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,cBcBcBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBcBcBcBcBcBcB,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S03,super,F01,famous,A,151,812,TRUE,s003,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdB,x,cAdAdAdAeBeBeBeBeBeBeBeBeB,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,cBcBcBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBcBcBcBcBcBcB,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S04,super,F01,famous,A,46,836,TRUE,s004,cAdAdAdAeBeBeBeBeBeBeBeBeB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdB,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,x,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,cBcBcBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBcBcBcBcBcBcB,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S07,super,F01,famous,A,21,863,TRUE,s005,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdB,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,cAdAdAdAeBeBeBeBeBeBeBeBeB,x,cBcBcBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBcBcBcBcBcBcB,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S09,super,F01,famous,A,142,838,TRUE,s006,cBcBcBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdB,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,cAdAdAdAeBeBeBeBeBeBeBeBeB,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,x,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBcBcBcBcBcBcB,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S10,super,F01,famous,A,17,676,TRUE,s007,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdB,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,cAdAdAdAeBeBeBeBeBeBeBeBeB,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,cBcBcBdBdBdBdBdBdBdBdBdBdB,x,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBcBcBcBcBcBcB,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S11,super,F01,famous,A,144,807,TRUE,s008,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdB,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,cAdAdAdAeBeBeBeBeBeBeBeBeB,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,cBcBcBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,x,cAdBdBdBcBcBcBcBcBcB,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S12,super,F01,famous,A,119,543,TRUE,s009,cAdBdBdBcBcBcBcBcBcB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdB,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,cAdAdAdAeBeBeBeBeBeBeBeBeB,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,cBcBcBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,x,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
S13,super,F01,famous,A,67,1187,TRUE,s010,cAcAcAcAcAcCcCcCcCcCdBdBdBcAcAcAcAcAcCcCcCcCcCcC,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdB,cAcAcAdBdBdBdBdBdBdBdBdBdBdB,cAdAdAdAeBeBeBeBeBeBeBeBeB,cAcAcAcAcAcAcAdBdBdBdBdBdBcC,cBcBcBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAdBdBdBdBdBdBdBdBdBdB,dBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBcBcBcBcBcBcB,x,cCcCcCcCdBdBdBdBdBdBdBdBdBdBdB,cAdBdBdBdBdBdBdBdBdBdBdBdBdB,cAcAcAcAcCcCcCcCcCcCcCcCcCcA,cAcAcAdBdBdBdBdBdBdBdBeBeB,cAcAcAcAcAcAdAdAdAcCcCcCcCcCcCdAdAdAdAdAdA
