subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
S01,super,F01,famous,A,52,916,TRUE,s001,<undefined>,0.36842,0.38197,-0.1797,0.0098048,0.36842,0.30753,0.84211,-0.10075,-0.25531,0.38648,0.53083,-0.43679,0.19776,-0.24486
S02,super,F01,famous,A,94,516,TRUE,s002,0.36842,<undefined>,0.67857,-0.076923,0.1735,0.69231,0.57756,0.47059,0.18962,-0.2839,0.6,0.67857,-0.4326,0.5066,-0.27754
S03,super,F01,famous,A,151,812,TRUE,s003,0.38197,0.67857,<undefined>,0.035714,0.49492,0.67857,0.89898,0.48573,0.14286,-0.096405,0.5,0.79797,-0.11117,0.75,-0.063258
S04,super,F01,famous,A,46,836,TRUE,s004,-0.1797,-0.076923,0.035714,<undefined>,-0.17857,-0.063725,0.035714,-0.14201,-0.5,-0.4375,-0.2,0.035714,-0.60714,0.23077,-0.2612
S07,super,F01,famous,A,21,863,TRUE,s005,0.0098048,0.1735,0.49492,-0.17857,<undefined>,0.27451,0.59594,0.069782,0,0.031557,0.028595,0.29289,-0.034663,0.40511,0.087769
S09,super,F01,famous,A,142,838,TRUE,s006,0.36842,0.69231,0.67857,-0.063725,0.27451,<undefined>,0.67857,0.47059,0.11538,-0.22498,0.6,0.67857,-0.33158,0.61538,-0.2102
S10,super,F01,famous,A,17,676,TRUE,s007,0.30753,0.57756,0.89898,0.035714,0.59594,0.67857,<undefined>,0.40254,0.14286,-0.037479,0.40572,0.69695,-0.010153,0.75,0.0040851
S11,super,F01,famous,A,144,807,TRUE,s008,0.84211,0.47059,0.48573,-0.14201,0.069782,0.47059,0.40254,<undefined>,-0.053777,-0.26246,0.49077,0.65211,-0.42935,0.27984,-0.25303
S12,super,F01,famous,A,119,543,TRUE,s009,-0.10075,0.18962,0.14286,-0.5,0,0.11538,0.14286,-0.053777,<undefined>,-0.125,0.0057191,0.14286,-0.16019,0.11538,-0.21429
S13,super,F01,famous,A,67,1187,TRUE,s010,-0.25531,-0.2839,-0.096405,-0.4375,0.031557,-0.22498,-0.037479,-0.26246,-0.125,<undefined>,-0.033905,-0.21426,0.29167,-0.14879,0.1875
S14,super,F01,famous,A,89,708,TRUE,s011,0.38648,0.6,0.5,-0.2,0.028595,0.6,0.40572,0.49077,0.0057191,-0.033905,<undefined>,0.5781,-0.19902,0.30572,-0.13469
S15,super,F01,famous,A,94,981,TRUE,s012,0.53083,0.67857,0.79797,0.035714,0.29289,0.67857,0.69695,0.65211,0.14286,-0.21426,0.5781,<undefined>,-0.3132,0.54797,-0.19795
S17,super,F01,famous,A,124,998,TRUE,s013,-0.43679,-0.4326,-0.11117,-0.60714,-0.034663,-0.33158,-0.010153,-0.42935,-0.16019,0.29167,-0.19902,-0.3132,<undefined>,-0.20098,0.16667
S90,super,F01,famous,A,79,783,TRUE,s014,0.19776,0.5066,0.75,0.23077,0.40511,0.61538,0.75,0.27984,0.11538,-0.14879,0.30572,0.54797,-0.20098,<undefined>,-0.10679
S91,super,F01,famous,A,10,1198,TRUE,s015,-0.24486,-0.27754,-0.063258,-0.2612,0.087769,-0.2102,0.0040851,-0.25303,-0.21429,0.1875,-0.13469,-0.19795,0.16667,-0.10679,<undefined>
S01,super,F01,famous,B,36,860,TRUE,s001,<undefined>,-0.17538,-0.13889,0.03731,-0.16667,0.30556,-0.046024,-0.0082555,0.083333,-0.20639,-0.11111,-0.34123,-0.083333,-0.18015,0.14061
S02,super,F01,famous,B,83,649,TRUE,s002,-0.17538,<undefined>,0.61538,-0.076923,-0.14997,0.24539,0.62198,0.37745,0.089101,-0.1867,0.65385,0.14108,0.38462,0.10714,0.15789
S03,super,F01,famous,B,104,769,TRUE,s003,-0.13889,0.61538,<undefined>,0.2121,-0.16513,0.39749,0.5,0.30302,0.26975,-0.29851,0.88462,-0.020527,0.58352,0.32143,-0.10526
S04,super,F01,famous,B,110,890,TRUE,s004,0.03731,-0.076923,0.2121,<undefined>,0.067862,-0.20502,-0.25603,-0.23607,0.18656,-0.27831,0.09672,-0.046415,-0.20437,-0.35102,-0.2451
S07,super,F01,famous,B,8,1006,TRUE,s005,-0.16667,-0.14997,-0.16513,0.067862,<undefined>,-0.3218,-0.30622,-0.29695,-0.06805,0.017241,-0.25888,0.125,-0.46247,-0.61872,0.066177
S09,super,F01,famous,B,38,990,TRUE,s006,0.30556,0.24539,0.39749,-0.20502,-0.3218,<undefined>,0.35799,0.56618,0.034458,-0.1261,0.39245,-0.29743,0.52941,0.38235,0.048891
S10,super,F01,famous,B,42,583,TRUE,s007,-0.046024,0.62198,0.5,-0.25603,-0.30622,0.35799,<undefined>,0.44737,0.039504,-0.18374,0.58333,-0.12944,0.57692,0.28571,0.13158
S11,super,F01,famous,B,142,911,TRUE,s008,-0.0082555,0.37745,0.30302,-0.23607,-0.29695,0.56618,0.44737,<undefined>,0.0052897,-0.14038,0.2985,-0.011996,0.42105,0.23684,0.32482
S12,super,F01,famous,B,71,807,TRUE,s009,0.083333,0.089101,0.26975,0.18656,-0.06805,0.034458,0.039504,0.0052897,<undefined>,-0.10345,0.18152,0.025231,0,-0.17142,-0.10526
S13,super,F01,famous,B,30,1582,TRUE,s010,-0.20639,-0.1867,-0.29851,-0.27831,0.017241,-0.1261,-0.18374,-0.14038,-0.10345,<undefined>,-0.32759,0.043357,-0.26995,-0.22414,-0.0083669
S14,super,F01,famous,B,71,554,TRUE,s011,-0.11111,0.65385,0.88462,0.09672,-0.25888,0.39245,0.58333,0.2985,0.18152,-0.32759,<undefined>,-0.077665,0.62198,0.35714,-0.078947
S15,super,F01,famous,B,15,760,TRUE,s012,-0.34123,0.14108,-0.020527,-0.046415,0.125,-0.29743,-0.12944,-0.011996,0.025231,0.043357,-0.077665,<undefined>,-0.31158,-0.46339,0.14964
S17,super,F01,famous,B,8,1684,TRUE,s013,-0.083333,0.38462,0.58352,-0.20437,-0.46247,0.52941,0.57692,0.42105,0,-0.26995,0.62198,-0.31158,<undefined>,0.39286,0.0090302
S90,super,F01,famous,B,86,886,TRUE,s014,-0.18015,0.10714,0.32143,-0.35102,-0.61872,0.38235,0.28571,0.23684,-0.17142,-0.22414,0.35714,-0.46339,0.39286,<undefined>,-0.17518
S91,super,F01,famous,B,36,996,TRUE,s015,0.14061,0.15789,-0.10526,-0.2451,0.066177,0.048891,0.13158,0.32482,-0.10526,-0.0083669,-0.078947,0.14964,0.0090302,-0.17518,<undefined>
S01,super,F01,famous,C,83,1176,TRUE,s001,<undefined>,0.041667,0.0625,-0.013684,0.055964,0.083333,0.375,0.5625,0.083333,-0.1589,0.25,0.090482,-0.1345,0.33333,0.47917
S02,super,F01,famous,C,57,587,TRUE,s002,0.041667,<undefined>,0.5,-0.14706,-0.27854,0.34763,0.42857,0.18421,0.41667,-0.3652,0.42857,0.14645,-0.29657,0.3125,0.065217
S03,super,F01,famous,C,112,806,TRUE,s003,0.0625,0.5,<undefined>,0.068916,-0.18365,0.62198,0.34594,0.12332,0.26923,-0.16954,0.60714,0.23737,-0.2102,0.20358,0.014919
