fame,ability,face,subj,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060
famous,super,F01,S01,A,52,916,TRUE,s001,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.16692,0.18421,0.36842,<undefined>,0.30302,0.12332,0.39474,<undefined>,-0.23607,-0.27064,0.43674,<undefined>,-0.40596,-0.30598,0.040851,<undefined>,0.68421,-0.073658,0.5,<undefined>,0.26767,0.60526,0.68421,<undefined>,0.66241,1,0.12821,<undefined>,0.070692,0.14964,-0.14357,<undefined>,-0.22363,-0.37511,-0.15601,<undefined>,0.2985,0.15867,0.11507,<undefined>,-0.27515,0.035346,0.56166,<undefined>,0.42105,-0.22514,0.20132,<undefined>,0.28947,0.55263,0.31579,<undefined>,0.12332,0.73913,0.25444
famous,super,F01,S01,B,36,860,TRUE,s002,<undefined>,<undefined>,<undefined>,<undefined>,-0.027778,<undefined>,0.055556,0.02383,0.055556,<undefined>,-0.10635,0.042076,-0.16585,<undefined>,-0.32298,-0.035364,-0.22222,<undefined>,-0.24918,-0.015639,-0.041258,<undefined>,-0.22222,0.16667,0,<undefined>,0.055556,0.083333,0.13889,<undefined>,0.13158,-0.012821,-0.29126,<undefined>,-0.21269,-0.13889,-0.21844,<undefined>,-0.33664,-0.2879,0.027778,<undefined>,-0.11111,-0.16667,0.055556,<undefined>,-0.22617,0.055556,-0.18968,<undefined>,-0.30474,0.13636,-0.083333,<undefined>,0.019064,-0.1619,-0.21429,<undefined>,0.021739,0.020425
famous,super,F01,S01,C,83,1176,TRUE,s003,<undefined>,<undefined>,<undefined>,<undefined>,0.1875,0.3125,<undefined>,0.1875,0.25,0.3125,<undefined>,0.20833,-0.22917,-0.055351,<undefined>,0.39583,0.031557,-0.16248,<undefined>,0.025021,0.3125,0.42024,<undefined>,0.29167,0.20833,0.20833,<undefined>,0.4375,0.52083,0.5625,<undefined>,0.089744,-0.16667,0.020833,<undefined>,0.017872,0.067301,-0.25515,<undefined>,0.20937,0.27083,0.25,<undefined>,0.19822,0.33333,-0.017259,<undefined>,0.34048,-0.16963,0.22917,<undefined>,0.10478,0.10417,0.125,<undefined>,0.14583,-0.21487,0.16013,<undefined>,0.059539
famous,super,F01,S01,D,89,1316,TRUE,s004,<undefined>,<undefined>,<undefined>,<undefined>,0.11111,0.074074,0.018519,<undefined>,0.12064,0.22222,-0.024328,<undefined>,-0.2746,0,-0.076706,<undefined>,-0.08887,-0.082516,0.018519,<undefined>,0.11111,0.33333,-0.042846,<undefined>,0.068265,0.040214,0.27778,<undefined>,0.44444,0.31799,0.55556,<undefined>,-0.18201,0.14815,0.077251,<undefined>,0.047659,-0.28423,-0.15078,<undefined>,0.12382,0.16667,0.12064,<undefined>,0.2254,-0.10793,-0.12328,<undefined>,-0.095225,0.14815,-0.18519,<undefined>,-0.0089867,0.055556,0.24074,<undefined>,-0.14443,-0.061365,0.48148,<undefined>
famous,super,F01,S02,A,94,516,TRUE,s005,<undefined>,-0.027778,0.1875,0.11111,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.66045,0.39781,0.60714,<undefined>,-0.12745,-0.27393,0.28571,<undefined>,-0.41513,-0.25508,0.0081701,<undefined>,0.47059,0.16789,0.67857,<undefined>,0.70833,0.67857,0.6,<undefined>,0.36842,0.36842,-0.076923,<undefined>,0.058824,0.52145,0.0077312,<undefined>,-0.27586,-0.40494,-0.18241,<undefined>,0.75715,0.37553,0.20358,<undefined>,-0.2598,0.34048,0.53125,<undefined>,0.76923,-0.25782,0.11364,<undefined>,0.46429,0.53125,0.61538,<undefined>,0,0.21739,0.14286
famous,super,F01,S02,B,83,649,TRUE,s006,0.16692,<undefined>,0.3125,0.074074,<undefined>,<undefined>,<undefined>,<undefined>,0.40511,<undefined>,0.46154,0.25,-0.24943,<undefined>,0,0.2381,0.36327,<undefined>,0.24492,0.12313,0.70551,<undefined>,0.46814,0.37553,0.40511,<undefined>,0.40511,0.34477,0.24539,<undefined>,0.16692,-0.12821,0.11538,<undefined>,0.5,0.058258,-0.089869,<undefined>,-0.12606,0.086822,0.34477,<undefined>,0.60714,0.46875,0.40511,<undefined>,0.54506,0.46875,-0.099964,<undefined>,-0.11496,0.14026,0.38462,<undefined>,0.25536,0.23077,-0.17414,<undefined>,0.050938,0.12313
famous,super,F01,S02,C,57,587,TRUE,s007,0.18421,0.055556,<undefined>,0.018519,<undefined>,<undefined>,<undefined>,<undefined>,0.42857,0.5,<undefined>,0.3694,0.038462,-0.15271,<undefined>,0.11905,0.25613,-0.24372,<undefined>,0.02381,0.43627,0.44118,<undefined>,0.57143,0.42857,0.43096,<undefined>,0.36667,0.26471,0.18421,<undefined>,-0.16667,0.33333,0.029412,<undefined>,-0.057126,-0.19404,-0.15517,<undefined>,-0.19504,0.3,0.58333,<undefined>,0.375,0.42857,-0.28033,<undefined>,0.3125,-0.27854,0.42308,<undefined>,0.22727,0.42308,0.14286,<undefined>,0.26923,-0.17005,-0.078947,<undefined>,0.11905
famous,super,F01,S02,D,19,739,TRUE,s008,0.36842,0.02383,0.1875,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.43333,0.33333,0.2,<undefined>,0.26667,-0.2,0.064736,<undefined>,0.017157,-0.55086,-0.43807,<undefined>,0.37239,0.52941,-0.010457,<undefined>,0.36667,0.33905,0.56667,<undefined>,0.47059,0.29399,0.36842,<undefined>,0.033333,-0.14201,0.20572,<undefined>,-0.37439,-0.19506,-0.53538,<undefined>,0.33333,0.36667,0.20572,<undefined>,0.56667,-0.4473,0.072386,<undefined>,-0.54853,0.4781,-0.2102,<undefined>,0.26667,0.5,0.78125,<undefined>,-0.33672,-0.025541,0.3913,<undefined>
famous,super,F01,S03,A,151,812,TRUE,s009,<undefined>,0.055556,0.25,0.12064,<undefined>,0.40511,0.42857,0.43333,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.22549,-0.0092267,0.24218,<undefined>,-0.13388,-0.23669,0.22246,<undefined>,0.55882,0.38165,0.75613,<undefined>,0.5,0.69695,0.61716,<undefined>,0.44737,0.38197,-0.070324,<undefined>,-0.029412,0.33981,-0.099964,<undefined>,-0.13497,-0.26332,-0.17251,<undefined>,0.54184,0.69695,0.45895,<undefined>,-0.24372,0.22654,0.51072,<undefined>,0.60714,-0.19795,0.18182,<undefined>,0.35714,0.47411,0.46429,<undefined>,0.23684,0.22858,0.16667
famous,super,F01,S03,B,104,769,TRUE,s010,0.30302,<undefined>,0.3125,0.22222,0.66045,<undefined>,0.5,0.33333,<undefined>,<undefined>,<undefined>,<undefined>,-0.23077,<undefined>,-0.014273,0.36123,0.20308,<undefined>,0.060225,-0.067344,0.53846,<undefined>,0.44947,0.54797,0.46429,<undefined>,0.58981,0.51716,0.39749,<undefined>,0.30302,-0.051282,0.083522,<undefined>,0.57692,0.34729,-0.099979,<undefined>,-0.21302,-0.012632,0.43905,<undefined>,0.69083,0.47947,0.58981,<undefined>,0.19231,0.65625,-0.1173,<undefined>,-0.29727,0.12144,0.38462,<undefined>,0.41697,0.46154,-0.18569,<undefined>,0.16336,0.055789
famous,super,F01,S03,C,112,806,TRUE,s011,0.12332,-0.10635,<undefined>,-0.024328,0.39781,0.46154,<undefined>,0.2,<undefined>,<undefined>,<undefined>,<undefined>,-0.076923,-0.29449,<undefined>,0.063959,0.57756,0.037532,<undefined>,0.2381,0.5066,0.26975,<undefined>,0.40511,0.75,0.42308,<undefined>,0.28954,0.19666,0.21053,<undefined>,-0.19633,0.34615,0,<undefined>,-0.095588,-0.0065356,-0.083249,<undefined>,-0.14395,0.21144,0.35935,<undefined>,0.53125,0.44695,-0.1973,<undefined>,0.2402,0.042893,0.32089,<undefined>,0.068182,0.61538,0.10714,<undefined>,0.23077,-0.039449,0.15789,<undefined>,0.047619
famous,super,F01,S03,D,5,848,TRUE,s012,0.39474,0.042076,0.20833,<undefined>,0.60714,0.25,0.3694,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.035714,0.07248,-0.092416,<undefined>,0.02451,-0.5455,-0.40406,<undefined>,0.46429,0.5,-0.0050763,<undefined>,0.42857,0.42857,0.71429,<undefined>,0.5,0.34211,0.39474,<undefined>,0.041842,0.025231,0.29797,<undefined>,-0.37081,-0.30147,-0.49563,<undefined>,0.43333,0.5,0.22654,<undefined>,0.64286,-0.39017,0.14286,<undefined>,-0.58158,0.53571,-0.35714,<undefined>,0.32143,0.28571,0.4375,<undefined>,-0.35236,-0.13158,0.23913,<undefined>
famous,super,F01,S04,A,46,836,TRUE,s013,<undefined>,-0.16585,-0.22917,-0.2746,<undefined>,-0.24943,0.038462,0.26667,<undefined>,-0.23077,-0.076923,-0.035714,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.59375,-0.76733,-0.28571,<undefined>,0,-0.19231,0.035714,<undefined>,-0.14725,-0.065301,-0.094281,<undefined>,-0.15789,-0.1797,-0.11318,<undefined>,-0.47477,-0.34615,-0.69231,<undefined>,-0.27586,-0.56522,-0.4901,<undefined>,-0.19231,-0.10714,-0.15625,<undefined>,-0.59375,-0.34615,-0.11964,<undefined>,-0.095588,-0.19048,0.022727,<undefined>,0.36327,0.13036,0.27583,<undefined>,-0.21427,-0.061488,-0.2381
